factory_name,address,source,extraction_date,page_number,worker_count,latitude,longitude,geocoding_method,geocoding_confidence,identified_brands,brand_confidence,num_brands,primary_brand,max_confidence,brand_tier
"Scandex Bd Ltd 87, Beron, Jamgora, Ashulia, Dhaka Dhaka Dhaka 1349 2 8861028 1 17 No Yes 13 500 2",,Accord 2013,2025-09-22T21:15:09.639920,26,,23.8103,90.4125,default,very_low,['C&A'],[1.0],1,C&A,1.0,value_fast_fashion
"Scandex Knitwear Limited Unit 1 87, Beron, Jamgora, Ashulia, Savar Dhaka Dhaka 1349 2 7790439 3 17 25 35 No Yes 856 3",,Accord 2013,2025-09-22T21:15:09.639976,26,,23.8103,90.4125,default,very_low,['C&A'],[1.0],1,C&A,1.0,value_fast_fashion
"Scandex Knitwear Limited Unit 2 Plot No. 4251, Adamjee EPZ, Siddirgonj,",Nara yangonjNarayanganj Dhaka 1431 2 7692194 11 No No 706 2,Accord 2013,2025-09-22T21:15:09.640010,26,,23.6234,90.5456,exact_location,high,['C&A'],[1.0],1,C&A,1.0,value_fast_fashion
"Scarlet Knitwears Ltd. Plot  A169170, Bscic Industrial Estate,","Fatullah , Nara yanganjNarayanganj Dhaka 1420 2 560569 3 18 No No NO 600 3",Accord 2013,2025-09-22T21:15:09.640068,26,,24.0167,90.4167,exact_location,high,['C&A'],[1.0],1,C&A,1.0,value_fast_fashion
"SEAMARK PLC SEAMARK BD LTD, CTA PLOT NO. 50,","POUJDARHAT IND. ESTATE, SAGORIKA ROAD, P.O CUSTOM ACADEMY, CHITTAGO4219 88031752300 604 3 11 21 31 No No  1500 1",Accord 2013,2025-09-22T21:15:09.640204,26,,23.8103,90.4125,default,very_low,['C&A'],[1.0],1,C&A,1.0,value_fast_fashion
"Seha design ltd Plot  4, avenue  1, block D , kalshi rode dection","11 pallabi , mirpur,dhakaDhaka Dhaka 1216 2 9016265 .18 Yes Yes 7 430 1",Accord 2013,2025-09-22T21:15:09.640549,26,,23.8223,90.3654,exact_location,high,['PVH'],[1.0],1,PVH,1.0,other_brands
"Sensible Fashion PVT Ltd. Holan Road, Dhakhinkhan 2 8924022 No No 1","SENSIBLE KNIT WEAR North Masdair, Malancha Nagar, Fatullah, Nara yanganjNarayanganj Dhaka 1400 2 8415126 1 No No 395 1",Accord 2013,2025-09-22T21:15:09.640882,26,,23.62115475445837,90.52866828022172,area_match,medium,['Walmart'],[1.0],1,Walmart,1.0,mass_market
"Seo Wan Bangladesh Ltd. Plot No. 12, Street 2, Section 1, BlockE, Mirpur Dhaka Dhaka 2 8016500 No No 2",,Accord 2013,2025-09-22T21:15:09.640983,26,,23.8223,90.3654,exact_location,high,['PVH'],[1.0],1,PVH,1.0,other_brands
"Shanta Garments Ltd. Shanta Garments Ltd. 31, Gulshan Avenue, Circle","01, DhakaDhaka Dhaka 1212 2 9894828 1 19 No No 1222 1",Accord 2013,2025-09-22T21:15:09.641969,26,,23.7925,90.4078,exact_location,high,['Uniqlo'],[1.0],1,Uniqlo,1.0,premium_fast_fashion
"SHOVON KNITWEAR LTD WEST MASDAIR, FATULLAH,, NARAYANGONJ Narayanganj Dhaka 1400 2 9355643 1 15, No No NA 350 3","Nagar, Fatullah ,Nara yanganjNarayanganj Dhaka 1400 2 7670324 1 15 Yes Yes 11 200 1",Accord 2013,2025-09-22T21:15:09.725637,27,,23.61648575353872,90.5364047385581,area_match,medium,['Walmart'],[1.0],1,Walmart,1.0,mass_market
