factory_name,address,source,extraction_date,page_number,worker_count,latitude,longitude,geocoding_method,geocoding_confidence,identified_brands,brand_confidence,num_brands,primary_brand,max_confidence,brand_tier
"NZN Garments Ltd Patherghata 4000, Chittagong Chittagong Chittagong 4000 31 740136740161 1 16, Yes Yes 11, 285 1",,Accord 2013,2025-09-22T21:15:09.178574,21,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"OASIS HITECH SPORTSWEAR LIMITED. PLOT 1214  21, COMILLA EPZ COMILLA Chittagong 3500 81 71051 12, No No Not Shared 1000 1","Oasis Unit 2K a s h e m Complex , Gacha Roard , Gazipur Gazipur Dhaka 2 9291812 1 16 No No 987 1",Accord 2013,2025-09-22T21:15:09.178616,21,,24.016983512265597,90.38668664026736,area_match,medium,[],[],0,,0.0,unidentified
"OCEAN APPARELS LIMITED BUILDING DS 02, EAST WING 1ST FLOOR, ROAD","02, CEPZChittagong Chittagong 4223 31 800098 2 1221 No No Not Shared 882 1",Accord 2013,2025-09-22T21:15:09.178703,21,,22.253559740340876,91.8042643202119,area_match,medium,[],[],0,,0.0,unidentified
"Ocean Trousers Ltd Laxmipura, Chandona, Joydebpur, Gazipur Gazipur 29252817 1 16 No Yes 13,4,5 1543 1","Ocenian Fashion IE 43,Chiriakhana Road, Mirpur1 Dhaka Dhaka 1216 2 9020781 No No 280 1",Accord 2013,2025-09-22T21:15:09.178769,21,,23.8223,90.3654,exact_location,high,[],[],0,,0.0,unidentified
"Odessa Fashions Limited Nalzani, Chandana, Joidevpur, Gazipur Gazipur Dhaka 1702 2 9252412 1 16, No No 16, 1960 5",,Accord 2013,2025-09-22T21:15:09.178845,21,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"OekoTex Limited South Panishail zerani bazar, BKSP, Gazipur,",DhakaGazipur Dhaka 1711591280 3 162734 No No 1399 1,Accord 2013,2025-09-22T21:15:09.178870,21,,24.015392904979528,90.38514319169748,area_match,medium,[],[],0,,0.0,unidentified
"Oishi fashion  pvt ltd. Shaheen complex,3rd floor 23, shataish","road ,gazipura,tongi, gazipurGazipur Dhaka 1712 2 6557258 1 16 Yes Yes 12,3 475 1",Accord 2013,2025-09-22T21:15:09.178927,21,,24.019809398371834,90.37872378344782,area_match,medium,[],[],0,,0.0,unidentified
"Old Town Fashions Ltd Salima Complex, Silo Road, Siddhirgonj,",Nara yangonjNarayanganj Dhaka 1430 2 7692010 1 14 No No 750 2,Accord 2013,2025-09-22T21:15:09.178987,21,,23.620246966713268,90.52851835488782,area_match,medium,[],[],0,,0.0,unidentified
"Oli Knittings Fabrics Ltd. Ganak Bari, Savar, 1349, Savar, Dhaka, BD 2 7701202 No No 1",,Accord 2013,2025-09-22T21:15:09.179044,21,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
"Omega Sweaters Ltd. 3B, Darus Salam Road, Mirpur1, 1216 Mirpur,","Dhaka , BD2 8021982 No No 1 One Composite Mills Bishuya Kuribari, Mirzapur Thana, Gazipur Sadar Gazipur Dhaka 1703 2 9289514 No No 2300 1",Accord 2013,2025-09-22T21:15:09.179071,21,,23.8223,90.3654,exact_location,high,[],[],0,,0.0,unidentified
"One Up Sweaters Ltd 122 123, Choydana, P.O. National University Gazipur Dhaka 2 929280 2 No No 1",,Accord 2013,2025-09-22T21:15:09.179169,21,,23.8103,90.4125,default,very_low,[],[],0,,0.0,unidentified
ONE WAY TEXTILE LTD. One Way Textile,"Zirabo, SavarDhaka Dhaka 1340 2 7792460 1 11,2 No No 288 1",Accord 2013,2025-09-22T21:15:09.179334,21,,23.85811119982094,90.2689031011795,area_match,medium,[],[],0,,0.0,unidentified
"ONUS DESIGN LTD ONUS DESIGN LTD, JOY BANGLA ROAD,, KUNIA,","K B BAZARBARA BARI , GAZIPURGazipur Dhaka 1703 2 9291713 1 17, No No NA 2250 1",Accord 2013,2025-09-22T21:15:09.179446,21,,24.016022829694233,90.38540758374826,area_match,medium,[],[],0,,0.0,unidentified
"Opex Fashions Ltd. I1, I2 BlockC,Section 13, Mirpur, Dhaka Dhaka Dhaka 1216 2 9013766 1 19 No No 1400 1",,Accord 2013,2025-09-22T21:15:09.179544,21,,23.8223,90.3654,exact_location,high,['PVH'],[1.0],1,PVH,1.0,other_brands
"Opex Stylewear Ltd 561, BlockC,Section 13, Mirpur, Dhaka Dhaka Dhaka 2 8828860 3 11221039 No No All 4500 2",,Accord 2013,2025-09-22T21:15:09.179589,21,,23.8223,90.3654,exact_location,high,['PVH'],[1.0],1,PVH,1.0,other_brands
"OPTIMUM FASHION WEAR LTD Shashongaon, Enayet Nagar, Fatulla,",Nara yanganjNarayanganj Dhaka 1420 2 7670181 1 16 No No NA 450 1,Accord 2013,2025-09-22T21:15:09.179614,21,,23.612132714930915,90.53818378078567,area_match,medium,[],[],0,,0.0,unidentified
"Optimum Limited Amir Complex 9th Floor, Plot  43, Sector 3,","Uttara , DhakaDhaka Dhaka 1230 2 89530967 1 110 Yes Yes 12 750 1",Accord 2013,2025-09-22T21:15:09.179701,21,,23.8759,90.3795,exact_location,high,[],[],0,,0.0,unidentified
"ORBITEX KNITWEAR LIMITED GORAT, SARKER MARKET ROAD, ASHULIA DHAKA Dhaka 2 779084445 3 13 21 31 No No 2450 1","ORCHID 13 14 Zoo Road, Molik Tower, 11th Floor section , Mirpur, DhakaDhaka Dhaka 1216 2 8415126 1 No No 600 1 Orchid Garments 247248 , West Tejgaon IA Dhaka Dhaka 1208 2 986246 1 112 No Yes 11,2,3,5,6, 2450 1",Accord 2013,2025-09-22T21:15:09.179785,21,,23.8223,90.3654,exact_location,high,[],[],0,,0.0,unidentified
"Orchid Styles Ltd. Mollik Tower, 11th floor, Plot 1314, Zoo Road,",Mirpur2 1678040901 No No 1,Accord 2013,2025-09-22T21:15:09.179934,21,,23.8223,90.3654,exact_location,high,[],[],0,,0.0,unidentified
"Orchid Sweater Ltd B 7 B8 Bisic1A, Fidc Road, Kalurghat Chittagong Chittagong 4212 31 672019 1 15 No No 1050 2",,Accord 2013,2025-09-22T21:15:09.180158,21,,22.3712,91.8934,exact_location,high,[],[],0,,0.0,unidentified
